"MPE 001-2-028-3";"1";""
"BC 847A SMD";"24";""
"BKL 10120173";"1";""
"SMD-0805 10,0K";"10";""
"WL 2X05G 2,00";"1";""
"MPE 001-1-016-3";"5";""
"MAX 232 CPE";"1";""
"K-O SFCN4701T52";"2";""
"YAG FTE52-220R";"1";""
"K-O SFCN1500T52";"5";""
"K-O SFCN1000T52";"22";""
"LED 5-11000 RT";"4";""
"PCF 8574 AN";"4";""
"RAD 1/100";"4";""
"16,0000-HC49U-S";"1";""
"LED 3-9000 GN";"1";""
"LED 3-4500 RT";"1";""
"LED 3-3700 BL";"1";""
"LED EL 3-3200GE";"1";""
"KERKO 100N";"6";""
"KERKO 15P";"2";""
"PIH PT10MV103IPM";"1";""
"ATMEGA 8A-PU";"1";""
"D-SUB BU 09EU";"1";""
"TASTER 3301B";"8";""
"LED 5-39000 GN";"12";""
"RND 135-00030";"8";""
"K-O SFCN1002T52";"6";""
"K-O SFCN1001T52";"1";""
"K-O SFCN2201T52";"1";""
"K-O SFCN47R0T52";"1";""
